returns,risk%,"P(1億,20y)","P(1億,30y)",20y median(万),20y p10(万),DDmed,DDp90,P(DD>30%)
full,1,0.0,0.0,152.68512689181227,118.61053596381524,0.07035366794723497,0.09772192536021004,0.0
full,2,0.0,0.0,445.6820753872378,270.6645145910369,0.13714452841473546,0.18811413167456767,0.0006666666666666666
full,3,0.0,0.081,1167.2968428955346,586.2218737607506,0.20003115447956593,0.2708190078746928,0.041
full,5,0.224,0.946,5423.918919057069,2087.947241897269,0.3162563768820164,0.41711115960165496,0.6146666666666667
full,8,0.8906666666666667,0.9983333333333333,27686.649196668386,7855.863494967197,0.4680296317907563,0.5905279168638314,0.997
haircut,1,0.0,0.0,86.20979384621577,66.96860114278283,0.1100471886629269,0.15834968841972655,0.0003333333333333333
haircut,2,0.0,0.0,143.0540669266209,86.29246668824219,0.2109265944066488,0.2975101349249719,0.095
haircut,3,0.0,0.0,227.94011691915034,107.82501303860992,0.30292712217028583,0.4189755511881247,0.514
haircut,5,0.0,0.026333333333333334,496.2345512118059,150.89193969395768,0.46331853988403815,0.611340559438064,0.987
haircut,8,0.04933333333333333,0.2956666666666667,1072.7712707227367,184.55886389787906,0.6509111047425951,0.802206710504116,1.0
